"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/06/2025";"0000";"12,2";"13,2";"12,0";"94,0";"95,0";"93,0";"11,3";"12,1";"11,1";"1017,1";"1017,2";"1016,9";"0,3";"257,0";"0,9";"";"0,0"
"01/06/2025";"0100";"11,0";"12,2";"11,0";"95,0";"95,0";"94,0";"10,3";"11,3";"10,2";"1017,8";"1017,9";"1017,1";"0,3";"301,0";"1,3";"";"0,0"
"01/06/2025";"0200";"11,1";"11,2";"10,6";"96,0";"96,0";"95,0";"10,5";"10,6";"9,9";"1018,2";"1018,3";"1017,8";"0,5";"277,0";"1,1";"";"0,0"
"01/06/2025";"0300";"12,1";"12,1";"11,1";"95,0";"96,0";"95,0";"11,4";"11,4";"10,4";"1018,3";"1018,4";"1018,2";"0,4";"218,0";"1,2";"";"0,0"
"01/06/2025";"0400";"11,5";"12,2";"11,5";"95,0";"95,0";"95,0";"10,7";"11,4";"10,7";"1018,4";"1018,4";"1018,2";"0,5";"218,0";"1,1";"";"0,0"
"01/06/2025";"0500";"11,0";"11,5";"10,9";"96,0";"96,0";"95,0";"10,3";"10,6";"10,2";"1018,5";"1018,8";"1018,4";"0,2";"240,0";"1,0";"";"0,0"
"01/06/2025";"0600";"10,6";"11,2";"10,6";"96,0";"96,0";"96,0";"10,0";"10,6";"10,0";"1018,4";"1018,6";"1018,2";"0,6";"247,0";"1,4";"";"0,0"
"01/06/2025";"0700";"10,3";"10,6";"9,7";"97,0";"97,0";"96,0";"9,8";"9,9";"9,1";"1018,6";"1018,6";"1018,3";"0,6";"271,0";"1,4";"";"0,0"
"01/06/2025";"0800";"10,4";"10,5";"10,2";"97,0";"97,0";"97,0";"9,9";"10,0";"9,7";"1018,5";"1018,6";"1018,5";"0,7";"189,0";"1,5";"";"0,0"
"01/06/2025";"0900";"9,1";"10,4";"9,0";"97,0";"97,0";"96,0";"8,6";"9,9";"8,6";"1018,7";"1018,7";"1018,4";"0,5";"229,0";"1,5";"";"0,0"
"01/06/2025";"1000";"8,9";"9,5";"8,9";"97,0";"97,0";"97,0";"8,5";"9,0";"8,4";"1019,5";"1019,5";"1018,7";"0,3";"267,0";"1,6";"";"0,0"
"01/06/2025";"1100";"9,6";"9,6";"8,5";"97,0";"97,0";"97,0";"9,2";"9,2";"8,1";"1020,4";"1020,4";"1019,5";"0,5";"147,0";"1,2";"146,00";"0,0"
"01/06/2025";"1200";"12,4";"12,4";"9,6";"95,0";"98,0";"93,0";"11,5";"11,7";"9,3";"1021,0";"1021,0";"1020,4";"0,3";"203,0";"1,2";"650,80";"0,0"
"01/06/2025";"1300";"15,8";"15,8";"12,4";"74,0";"95,0";"74,0";"11,2";"13,5";"10,9";"1021,4";"1021,4";"1021,0";"0,9";"261,0";"2,6";"1320,70";"0,0"
