"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/06/2025";"0000";"9,1";"9,7";"8,9";"96,0";"97,0";"96,0";"8,5";"9,2";"8,3";"920,6";"920,6";"920,2";"0,0";"180,0";"0,0";"";""
"01/06/2025";"0100";"8,7";"9,3";"8,7";"97,0";"97,0";"96,0";"8,2";"8,7";"8,2";"920,7";"920,9";"920,5";"0,0";"151,0";"0,0";"";""
"01/06/2025";"0200";"8,3";"8,7";"8,2";"99,0";"99,0";"97,0";"8,2";"8,4";"8,0";"921,2";"921,2";"920,7";"0,0";"177,0";"0,0";"";""
"01/06/2025";"0300";"8,1";"8,4";"8,0";"99,0";"99,0";"99,0";"8,0";"8,3";"7,8";"921,4";"921,5";"921,2";"0,0";"185,0";"0,0";"";""
"01/06/2025";"0400";"8,5";"8,5";"7,6";"100,0";"100,0";"98,0";"8,5";"8,5";"7,3";"921,5";"921,5";"921,3";"0,0";"162,0";"0,0";"";""
"01/06/2025";"0500";"8,5";"8,6";"8,5";"100,0";"100,0";"100,0";"8,5";"8,6";"8,5";"921,5";"921,7";"921,4";"0,0";"135,0";"0,0";"";""
"01/06/2025";"0600";"7,7";"8,5";"7,7";"100,0";"100,0";"100,0";"7,7";"8,5";"7,7";"921,0";"921,5";"921,0";"0,0";"124,0";"0,0";"";""
"01/06/2025";"0700";"7,9";"7,9";"7,5";"100,0";"100,0";"100,0";"7,9";"7,9";"7,5";"920,6";"921,0";"920,6";"0,0";"120,0";"0,0";"";""
"01/06/2025";"0800";"8,2";"8,3";"7,9";"100,0";"100,0";"100,0";"8,2";"8,3";"7,9";"920,9";"921,1";"920,6";"0,0";"147,0";"0,0";"";""
"01/06/2025";"0900";"8,0";"8,2";"8,0";"100,0";"100,0";"100,0";"8,0";"8,2";"8,0";"920,7";"920,9";"920,6";"0,0";"128,0";"0,0";"";""
"01/06/2025";"1000";"7,3";"8,0";"7,3";"100,0";"100,0";"100,0";"7,3";"8,0";"7,3";"921,4";"921,4";"920,7";"0,0";"122,0";"4,6";"";""
